,bar_count,battery_level,bench_count,bike_score,bus_count,captive,city,clds,code,elevation,housing_units,id,land_area_in_sqmi,latitude,longitude,nest_id,park_count,parking_count,point,pop_density,population,precip,radius_in_miles,states,supermarket_count_1000m,temp,timestamp,uv_index,walk_score,water_area_in_sqmi,weekday,wspd,zip_code
10165,0,71,0,94,0,False,DC,OVC,,7.967415809631348,26166.0,d814d066-0ae3-4a86-97b4-c1e118f7aea2,5.26,38.89615666666667,-76.97773666666667,,20,1,"(38.89615666666667, -76.97773666666667)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,82,0.22,0,7.0,20002
10166,0,55,0,94,0,False,DC,OVC,,7.992531776428223,26166.0,199fbdd1-407f-4538-9c0d-e93845aa445d,5.26,38.896168333333335,-76.97772166666667,,20,1,"(38.896168333333335, -76.97772166666667)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,82,0.22,0,7.0,20002
10167,0,46,0,87,0,False,DC,OVC,,79.46240234375,18985.0,9a85e0f7-89a2-4f06-93e3-e09414f887d7,2.34,38.88441833333333,-77.09362,,16,0,"(38.88441833333333, -77.09362)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10168,0,62,0,85,0,False,DC,OVC,,79.71568298339844,18985.0,6d47c7ec-2692-4ec1-b5c3-82d757737786,2.34,38.89096833333333,-77.09507833333333,,15,0,"(38.89096833333333, -77.09507833333333)",14311.0,33476.0,,1.0,DC,5,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10169,0,69,0,46,0,False,DC,OVC,,8.93668270111084,22753.0,623de589-7c40-4cba-a8ac-fd13c639f4ad,4.61,38.862026666666665,-76.995285,,9,2,"(38.862026666666665, -76.995285)",10809.0,49864.0,,2.0,DC,1,18,2019-03-25 10:44:51.809996,2,53,0.15,0,7.0,20020
10170,0,48,0,94,0,False,DC,OVC,,7.708569526672362,26166.0,a178cefe-6f41-4380-b4de-60019028a037,5.26,38.896225,-76.97717333333334,,20,1,"(38.896225, -76.97717333333334)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,82,0.22,0,7.0,20002
10171,0,49,0,94,0,False,DC,OVC,,8.256543159484862,26166.0,fb1ab2b5-393f-4a78-b5a3-86a8adcc7e5b,5.26,38.89661833333333,-76.97708166666666,,21,1,"(38.89661833333333, -76.97708166666666)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,82,0.22,0,7.0,20002
10172,4,100,0,84,0,False,DC,OVC,,80.63905334472656,18985.0,28d8bd3e-f12c-46d0-86f2-221f9d8b02b2,2.34,38.88655166666667,-77.09491,c1a34b7a-2f3b-4d7b-8b4c-1919211fbe2d,19,0,"(38.88655166666667, -77.09491)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,96,0.0,0,7.0,22201
10173,3,99,0,84,0,False,DC,OVC,,80.60794067382812,18985.0,c83f0a43-bd76-4190-aba4-63b1b691a054,2.34,38.886508333333346,-77.094925,c1a34b7a-2f3b-4d7b-8b4c-1919211fbe2d,19,0,"(38.886508333333346, -77.094925)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,96,0.0,0,7.0,22201
10174,2,81,0,87,0,False,DC,OVC,,78.54451751708984,18985.0,f45bb2aa-15b0-4773-a31b-b12d68172e2e,2.34,38.88548333333333,-77.09469666666669,,17,0,"(38.88548333333333, -77.09469666666669)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,96,0.0,0,7.0,22201
